OID,SYSTEM,MONTHDAY_INSTALL,YEAR_INSTALLED,LIFECYCLESTATUS,OWNER,SUBTYPE,HYDRAULICID,FACILITYID,VEGETATION,SHAPE_AREA,SHAPE_LEN
-1,GSWI,4_29,2013,ACT,PRIVMAND,9,,{6F907DB0-F08B-4C04-9209-6CCD64A2FDFD},,524.653179543621040,144.591952375371020
-1,GSWI,4_29,2013,ACT,PRIVMAND,9,,{7F040C76-DFEE-4A6A-BE9C-6F8C667D4B26},,298.766119356844000,81.823644943108206
-1,GSWI,4_29,2013,ACT,PRIVMAND,9,,{19D5E08D-47AD-4A47-8EC1-84E0DE9A50FE},,967.957652173584050,249.465963043984000
-1,STORM,12_10,2011,ACT,PWD,9,,{FE035787-2291-49E7-969B-573B2BD46912},,5718.741686774740600,525.200051076179080
-1,STORM,2_7,2012,ACT,PWD,9,,{82E89406-46EC-47B3-AD8D-EAB699FFF789},,2550.949233521249900,355.410483891186060
-1,GSWI,1_21,2015,ACT,PWD,9,,{60EEE6E4-8E98-4052-97C9-18D917E0029F},,2466.213213948470200,827.346057666702000
-1,GSWI,9_27,2012,ACT,PWD,9,,{A22A4C48-8369-4A92-AD1C-FA59BB449E7F},,2308.408418998240400,731.364560767440030
-1,GSWI,12_2,2013,ACT,PRIVVOL,9,,{A802A3B1-003F-4F55-8141-47D090E094E8},,1315.250507897250100,305.617106616223000
-1,GSWI,11_23,2013,ACT,PRIVVOL,9,,{E66C77E1-6AEE-4CC0-A9DB-ADD1B554A7ED},,3031.936948069960200,837.473648016892070
-1,GSWI,,,PRP,PWD,9,,{A7A06CAC-FF79-4786-8A2B-5C6FF68E8A96},,2238.134925734820200,689.801599433896060
-1,GSWI,,,PRP,PWD,9,,{BB61A312-1886-4BDA-8895-A747ABB55B98},,141.332117164203000,60.910494244935400
-1,GSWI,4_1,2009,ACT,PWD,1,,{5CEC52C6-B004-4C09-A373-FF77B9AE458E},,570.543367998581060,238.200448235309010
-1,GSWI,9_17,2013,ACT,PWD,1,,{8A73A075-A777-4290-A2B1-29627E07BB5F},,900.012008254829080,218.000113381278000
-1,GSWI,,,ACT,PRIV,1,,{ACA9AA32-0A67-4C9C-95AE-C39B3E150EAE},,6780.249648069419900,350.960699371387990
-1,GSWI,12_16,2011,ACT,PWD,1,,{97A0716B-6E92-4739-A21A-3BF1A8FF1E60},,393.834055432437990,81.790013337037408
-1,GSWI,12_20,2012,ACT,PWD,1,,{F309A077-5ABA-4E7D-9D6E-22C029728050},,353.733141432066020,111.361477674662000
-1,GSWI,,,PRP,PWD,1,,{C4BF68DD-542B-4383-BA0A-C95C0FE2A859},,1113.146451210010100,355.499677251328020
-1,GSWI,,,PRP,PWD,1,,{B7D1A987-3A59-4765-A6EF-CCF773ED1A52},,353.001978522050020,163.174569571500030
-1,GSWI,5_29,2013,ACT,PWD,1,,{C7E4F315-8780-420D-901C-240023A9CFF5},,180.006025951407000,97.999822658898793
-1,GSWI,5_29,2013,ACT,PWD,1,,{620CA90A-3382-42CD-B719-C4BEF0C8F385},,521.985961106058990,133.999376389129990
-1,GSWI,5_29,2013,ACT,PWD,1,,{AA03CAE8-5789-4D39-BD03-8C3264D8F59F},,683.981734245389020,169.999651957687010
-1,GSWI,5_29,2013,ACT,PWD,1,,{C7E6BC5E-1DF8-4E03-97D9-AD177871FF7B},,270.002061424521000,78.000007744247199
-1,GSWI,5_29,2013,ACT,PWD,1,,{A604ED66-FE91-4B6B-B6D5-EB6EDB38857D},,211.519926602785010,103.000990644416010
-1,GSWI,1_13,2014,ACT,PWD,1,,{9E92043D-AEB4-4ABE-AEE3-7E30BB1BB6A8},,931.190842072938040,280.062232297650040
-1,GSWI,1_13,2014,ACT,PWD,1,,{3F6BE6FF-4DD9-44D0-8793-15187AE4A01E},,1716.166770656009900,310.027778135481010
-1,GSWI,12_3,2006,ACT,PWD,1,,{C5C43223-4890-4500-BEAA-A21673005589},,1778.997359581479900,168.714161885227010
-1,GSWI,11_4,2011,ACT,PWD,1,,{7B8F6381-10EC-4322-A834-2B41374F7891},,1395.970031342740000,229.316993950171000
-1,GSWI,,,PRP,PWD,1,,{73458DB3-60CE-44AE-8A86-39D62DE02C1D},,909.983852839601130,158.000127232897000
-1,GSWI,,,PRP,PWD,1,,{0FC49EF1-B46D-4D42-AAF3-95ED78D655DC},,920.005403776856040,132.000289175095020
-1,GSWI,,,PRP,PWD,1,,{5AE2AEEE-9F90-42AD-8138-2C2289A40E0A},,835.996733583404080,126.000054898585010
-1,GSWI,,,PRP,PWD,1,,{F477B90D-A168-4BA9-9561-599C15AE7977},,1097.365057185159900,188.834222014737010
-1,GSWI,6_1,2011,ACT,PWD,1,,{CDCCAD41-6AAF-4D35-BC0B-78B408D799CF},,1051.400368968759900,340.872246466947050
-1,GSWI,6_1,2011,ACT,PWD,1,,{1D9C2CF9-D7D9-467C-A9B8-5280C12A04B4},,1009.778397470030100,327.897467264780000
-1,GSWI,6_1,2011,ACT,PWD,1,,{D772D0D2-F947-40C3-A21B-366842F36FA4},,1508.828127517370100,283.680996927992000
-1,GSWI,9_8,2013,ACT,PWD,1,,{FBA47E5A-2973-496E-8057-D8497D7A47D9},,2179.385523911740200,223.772395136411010
-1,GSWI,9_8,2013,ACT,PWD,1,,{3B68B663-6932-4068-892D-D7247B174821},,2203.931690723899900,192.000163419389000
-1,GSWI,,,PRP,PRIV,1,,{8AE9D5AA-3CC2-4AEF-8A66-4617ACF4EB5B},,3797.039197993589800,503.221404735802030
-1,GSWI,5_16,2012,ACT,PRIVVOL,1,,{70E52A0F-9654-4081-AB47-A168EF76E331},,3620.226165619070300,241.298200678575000
-1,GSWI,10_3,2007,ACT,PRIVMAND,1,,{18081FB3-84E0-4C2C-AAC8-870BB3402E1D},,8998.329275544190800,384.125701795861000
-1,GSWI,10_3,2007,ACT,PRIVMAND,1,,{1B1B151D-D1DA-45AB-845D-7DAB57338A98},,3421.360129087950600,280.221913080004980
-1,GSWI,1_2,2008,ACT,PRIVMAND,1,,{480E7AFB-FC50-4599-8FCF-49DA01451610},,1998.188670167640100,210.896952357074010
-1,GSWI,11_21,2006,ACT,PRIVMAND,1,,{1419F4E8-7688-4CB0-B3C4-C165A2AE04F2},,1683.648106512070200,281.597396736025020
-1,GSWI,10_24,2011,ACT,PRIVMAND,1,,{811A484F-C036-45F4-9C0F-A75438302CFE},,15467.228250178701000,583.332624305708120
-1,GSWI,5_3,2012,ACT,PRIVMAND,1,,{14079E47-1435-4CEA-B541-F1D09B5AF8F6},,897.363387432700050,119.824226676286000
-1,GSWI,10_09,2012,ACT,PRIVMAND,1,,{65E65F9D-C277-4AAA-92EE-AF55C388EFAC},,444.330788360153010,279.439753242058030
-1,GSWI,3_23,2012,ACT,PRIVMAND,1,,{E8237EBC-71E1-4D8A-BD5E-A3516B904FA6},,1061.169390823030000,149.153160142135990
-1,GSWI,3_23,2012,ACT,PRIVMAND,1,,{200DA644-154E-4B9A-BE49-9085D998044B},,10800.041993842100000,508.387421314664040
-1,GSWI,12_9,2010,ACT,PRIVMAND,1,,{091FBE1A-70A5-4A26-82B3-17969C9C1772},,10070.744229762300000,414.026248596218010
-1,GSWI,12_30,2011,ACT,PRIVMAND,1,,{69F8F163-B1DB-4CF4-B942-2FEBDC663F42},,1247.901388427150100,207.288651058071000
-1,GSWI,12_4,2012,ACT,PRIVMAND,1,,{E7F03977-2BE5-4721-8EF5-A7826B1C0C11},,1759.732130860450100,167.851609205981020
-1,GSWI,12_13,2010,ACT,PRIVMAND,1,,{F5274E82-DDF1-415C-9A7E-B90FDA059EEE},,6981.545765947630600,358.538310494534980
-1,GSWI,5_13,2011,ACT,PRIVMAND,1,,{7B3CC3D2-8564-468D-ACAC-9DD672403D09},,3435.952512749220200,272.191193035637010
-1,GSWI,5_10,2012,ACT,PRIVMAND,1,,{D24BB4EF-2A60-42C2-9485-99CC2F5053B2},,1611.423792135750100,226.281874449658010
-1,GSWI,5_9,2012,ACT,PRIVMAND,1,,{877C15CE-CDB3-4DAF-8459-9BDC7D8C5B20},,3621.443518211210200,286.980867842135010
-1,GSWI,5_9,2012,ACT,PRIVMAND,1,,{BFEB57C4-B084-4E39-A1B0-BA53E21F5B2A},,6428.775005539230700,479.673082652101980
-1,GSWI,7_2,2007,ACT,PRIVMAND,1,,{3C538A26-9B0C-41E9-9C40-CBB8B99729A7},,306.965157536839000,112.187757804618000
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{D5406F54-B62D-4A15-AFDE-EB44EF2736EF},,135.656878861061020,46.615937947169797
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{53E1FF62-42DE-435C-8747-31ECD5942C66},,134.337206038594990,46.393902025264595
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{228BFAB2-6892-4FD8-9EF3-71468B46EA25},,133.305790303247990,46.253808942701099
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{7566C67C-90A2-4FD0-BC85-210C26AFEEB4},,133.475112154748980,46.254147666856596
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{58632472-6D2F-4EF8-A300-BC2051A5FA9A},,54.335041749691797,29.514751263322502
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{0C26AE55-F932-48BB-ABD3-B933A3AC1027},,54.573947284189096,29.583293120141096
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{925AD95A-9D5A-4590-ADA7-F71A5BC3BE06},,55.884969119976198,29.932526962685500
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{23596F70-E395-4905-958C-3086B0181F12},,52.853437996094499,29.059668327616098
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{C55EB17E-415F-4E5F-B2C2-380C4E52B85D},,54.312338389696500,29.515101981222298
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{3A276B2D-A438-42A9-A536-F03BA7F7E589},,55.094137794312495,29.723955107630701
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{FA07D9AD-20CC-4409-ABC2-386825B6FBA2},,53.825901127596197,29.378399601639899
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{F46F3D76-A331-4C8B-88D0-A95B7208EBF6},,53.579076345219704,29.309578180012998
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{9E003A06-A0BB-4504-ADF5-BC184FCFB4B1},,54.132412332432395,29.450119425279496
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{EF3CDA75-8F3E-4C13-A622-957B8443517B},,54.130356928798697,29.447703405511199
-1,GSWI,11_30,2006,ACT,PRIVMAND,1,,{9A30F7D4-BC00-41B8-B542-E84CF3B2355F},,55.135137388261001,29.729662510078597
-1,GSWI,9_21,2012,ACT,PRIVMAND,1,,{A621505A-AAD7-4D37-BBC0-5CF0CF7C2BC5},,3124.471977310150100,344.871959010190040
-1,GSWI,9_6,2011,ACT,PRIVMAND,1,,{D91AE8A1-63DB-4ECE-ADD0-1AFB21341D32},,10194.970734590799000,590.997012209879020
-1,GSWI,3_23,2012,ACT,PRIVMAND,1,,{CB72EAB6-0094-4E8F-90DC-6C76252B681D},,2349.398925281190300,250.443158949939000
-1,GSWI,3_23,2012,ACT,PRIVMAND,1,,{EC4E4665-1721-4908-8F65-5F71B5BF8064},,5195.118867625010400,324.653705828833040
-1,GSWI,4_26,2006,ACT,PRIVMAND,1,,{966A7932-858C-45CF-8BAA-3668FAE0BC94},,2293.396597534130300,566.403984807477060
-1,GSWI,7_2,2007,ACT,PRIVMAND,1,,{96B936D1-4FF0-40E1-9CBF-9F65FD52F653},,538.073881906984980,152.232262546349010
-1,GSWI,4_20,2011,ACT,PRIVMAND,1,,{CB364A65-D41F-47A9-9BA7-E1C599E97766},,6946.238567153880500,336.956514425461990
-1,GSWI,4_20,2011,ACT,PRIVMAND,1,,{121F0AFC-C7F6-4D7A-8C8D-1EA9691C76F4},,2016.959458638810200,355.428799736070000
-1,GSWI,11_21,2012,ACT,PRIVMAND,1,,{E9B2EB84-EC6F-4562-8587-0B40AC0D5E49},,4027.567993955749900,349.769741593543980
-1,GSWI,12_3,2010,ACT,PRIVMAND,1,,{5AA96DA4-E315-4706-A906-7F867A14D4EC},,830.122668611492030,135.009864045119000
-1,GSWI,12_14,2012,ACT,PRIVMAND,1,,{45763408-E97E-46C3-A150-05CAEDCDDC5C},,17346.397951441999000,539.579914747794080
-1,GSWI,06_22,2007,ACT,PRIVMAND,1,,{B05EDDC3-339A-41FA-B1E5-000396FA5F0A},,107.654673712194000,50.425636355073699
-1,GSWI,6_22,2007,ACT,PRIVMAND,1,,{F6B125E2-92C6-45B2-9563-E9EBEF4A55A4},,103.021718446644020,49.211408055119698
-1,GSWI,6_22,2007,ACT,PRIVMAND,1,,{31B89F51-A5A7-4317-A7C3-EED5829D06C7},,106.799048077512010,50.598624306609700
-1,GSWI,6_22,2007,ACT,PRIVMAND,1,,{ADE60DDA-4B87-47D7-AF22-967BE66F4D08},,110.266060197478010,51.852068185028003
-1,GSWI,6_22,2007,ACT,PRIVMAND,1,,{487E3116-CC31-4D89-B862-7A8228904A73},,104.519722273168000,49.666568690359398
-1,GSWI,6_22,2007,ACT,PRIVMAND,1,,{5464A20A-8CD7-47B1-A660-2A160175BA4C},,109.968399340446990,51.658682933068498
-1,GSWI,6_22,2007,ACT,PRIVMAND,1,,{18E36C51-72A3-4FFF-AE57-63CA746DE3EE},,105.140476254864990,49.831294768409599
-1,GSWI,6_22,2007,ACT,PRIVMAND,1,,{5573CBC6-7E20-4221-976E-B57CAE1801B1},,108.537428469142000,51.060085704737602
-1,GSWI,6_22,2007,ACT,PRIVMAND,1,,{33B553EF-EFB1-4A91-B8E8-3DE152F792A9},,111.175845586549020,52.003795567630696
-1,GSWI,06_22,2007,ACT,PRIVMAND,1,,{AC67357F-B1FE-4A0F-8A08-61E5FD94A999},,108.024381189951010,50.800529313356797
-1,GSWI,06_22,2007,ACT,PRIVMAND,1,,{079AA14E-0315-4692-BDD6-F7EDB0CFD392},,108.579219979668000,50.969204811913301
-1,GSWI,06_22,2007,ACT,PRIVMAND,1,,{38E72B71-74CF-46CF-ABF7-C8DBFFA54AE6},,109.844937882066010,51.403619142035701
-1,GSWI,06_22,2007,ACT,PRIVMAND,1,,{4EA1249C-C356-4A68-95DC-2788BB084470},,108.484952023227010,50.870239044895499
-1,GSWI,06_22,2007,ACT,PRIVMAND,1,,{A072F194-DAD2-4156-8FBD-DB50C5D8A63F},,106.316222248371010,50.034222117735602
-1,GSWI,06_22,2007,ACT,PRIVMAND,1,,{BEBD27F8-ACFB-468E-9E21-B477442DC334},,109.938788808418010,51.328067318302899
-1,GSWI,06_22,2007,ACT,PRIVMAND,1,,{222B409F-DE20-49B4-95EC-4967CA2B623B},,109.108226164907010,50.991865016650394
-1,GSWI,03_06,2007,ACT,PRIVMAND,1,,{3512B754-BF8C-43B0-BC3B-19E1825E74A1},,1132.341910405710200,247.735651501719020
-1,GSWI,02_13,2007,ACT,PRIVMAND,1,,{E2C6B798-F5EB-49A9-A532-41FA988A60D7},,1502.343416049710000,160.140058249995010
-1,GSWI,03_06,2007,ACT,PRIVMAND,1,,{B7533EFB-0097-47A2-83E1-0E14A906DE5D},,278.098897540471060,73.871551247808100
-1,GSWI,12_13,2006,ACT,PRIVMAND,1,,{BABD51D9-CB05-4292-B1D5-9C9AB1C531D7},,1144.435415863400100,223.333375220847020
-1,GSWI,12_13,2006,ACT,PRIVMAND,1,,{F50A0BB3-A6C8-4182-BCDE-5469AC7E48B4},,548.259388255454040,342.757507261476010
-1,GSWI,6_22,2007,ACT,PRIVMAND,1,,{98D1C454-B04A-48F4-86EF-7E9FED049342},,2401.143108556890200,962.254522306096990
-1,GSWI,4_30,2008,ACT,PRIVMAND,1,,{94DB60BA-8E7D-4CE5-B8B5-77E335D78B5B},,2087.599805190910000,206.141573823724000
-1,GSWI,4_30,2008,ACT,PRIVMAND,1,,{891B6B68-BC6B-4ED5-AED0-A23FFDB56E08},,1974.336976922050100,205.678925818488010
-1,GSWI,11_5,2007,ACT,PRIVMAND,1,,{84F20D66-4534-49DB-AAE5-A46F3F0F925A},,38.254873592590002,26.824813830969699
-1,GSWI,11_5,2007,ACT,PRIVMAND,1,,{18E768A1-3963-482B-9F9F-2E8C6A4C65D3},,37.874435040411399,26.771152277304598
